"","Country","sum(presence)"
"1","american_samoa",13
"2","antarctica",2
"3","aus_endemic",18375
"4","bangladesh",27
"5","bhutan",38
"6","brunei",478
"7","california",12
"8","cambodia",348
"9","chile",86
"10","cook_islands",69
"11","easttimor",327
"12","falklands",18
"13","fiji",142
"14","finland",41
"15","french_southern_territories",78
"16","india",419
"17","indonesia",1999
"18","kiribati",28
"19","laos",202
"20","mad2",112
"21","madagascar",362
"22","malaysia",765
"23","maldives",51
"24","marshall_islands",17
"25","mauritius",76
"26","mozambique",223
"27","myanmar",137
"28","nauru",0
"29","new_caledonia",465
"30","new_guinea",1598
"31","new_zealand",416
"32","oman",69
"33","palau",116
"34","peru",149
"35","philippines",703
"36","polynesia_french",235
"37","reunion",179
"38","seychelles",58
"39","solomon_islands",282
"40","somalia",29
"41","south_africa",228
"42","south_georgia",14
"43","sri_lanka",224
"44","tanzania",329
"45","thailand",483
"46","tuvalu",0
"47","vanuatu",201
"48","vietnam",352
"49","wallis_fortuna",97
"50","yemen",84
